artist_name,artist_popularity,artist_followers,avg_track_popularity,total_tracks,explicit_ratio,avg_track_duration,lastfm_listeners,lastfm_playcount,plays_per_listener,lastfm_tag_1
BL8M,60.0,183597.0,70.0,1,0.0,3.14985,147251.0,14577234.0,98.9958234579052,Korean
BLACKPINK,81.0,56140946.0,56.6,5,0.0,2.9488233333333334,1871321.0,294339605.0,157.28974612052127,k-Pop
BOBI ANDONOV,38.0,27646.0,49.0,1,1.0,3.704,50903.0,469088.0,9.215331119973282,Eurovision
BOMBVY,13.0,119.0,30.0,1,1.0,9.852883333333333,367.0,1946.0,5.302452316076295,Unknown
BONES,71.0,1958141.0,67.5,2,1.0,1.7905666666666666,1032741.0,126108874.0,122.11084289284535,cloud Rap
BONZIE,30.0,28410.0,34.5,2,0.0,3.526741666666666,10716.0,37989.0,3.545072788353864,indie
BRAN,47.0,9570.0,1.0,2,0.0,1.7431666666666668,67258.0,464128.0,6.900710696125368,celtic
BTS,85.0,81181104.0,57.903225806451616,31,0.0,3.921427956989248,2225098.0,2607249265.0,1171.7458129934053,k-Pop
BUNT.,69.0,293734.0,67.0,1,0.0,2.646,448440.0,6126629.0,13.662093033627688,Electronic
BURY,52.0,21748.0,46.85714285714285,7,0.0,2.7518357142857144,56056.0,425650.0,7.593299557585272,japanese
BYOR,60.0,38969.0,9.0,1,0.0,2.259533333333333,55928.0,304103.0,5.437401659276213,G-house
Babeheaven,41.0,53700.0,30.0,1,0.0,4.3274333333333335,218551.0,1697328.0,7.766278809065161,indie Pop
Baby Bash,62.0,1056466.0,39.0,1,0.0,4.056216666666667,1024536.0,7589691.0,7.407930028813043,Hip-Hop
Baby Keem,72.0,3127881.0,76.0,2,1.0,3.184533333333333,1910963.0,182863528.0,95.69182030211992,Rap
Baby Tate,61.0,618711.0,65.0,1,0.0,1.9259166666666667,543118.0,5803023.0,10.684644957449397,RnB
Babybird,39.0,19186.0,29.0,1,0.0,3.7022166666666654,168940.0,1546706.0,9.155356931454955,indie
Backstreet Boys,76.0,6707978.0,76.66666666666667,3,0.0,3.783844444444444,2947265.0,66396316.0,22.528111995358408,Pop
Bad Bunny,95.0,102500980.0,73.33928571428571,56,0.8035714285714286,3.6554,2109828.0,330457148.0,156.62752982707596,Reggaeton
Bad Meets Evil,58.0,1858826.0,68.0,1,1.0,5.06355,822136.0,10319105.0,12.55157905747954,Hip-Hop
Bad Wolves,62.0,891423.0,3.0,1,0.0,4.24675,358384.0,6544568.0,18.261328630742444,groove metal
Badfinger,49.0,445170.0,61.0,1,0.0,3.622433333333333,815400.0,9453177.0,11.593300220750551,classic rock
Banshee,49.0,281826.0,55.0,1,1.0,3.2,205509.0,4111199.0,20.00495842031249,heavy metal
Bare Up,33.0,6562.0,51.0,1,0.0,3.5429166666666667,15011.0,92507.0,6.162614083005796,UK
Baroque Festival Orchestra,55.0,30582.0,63.0,1,0.0,2.934,152595.0,1312013.0,8.598007798420657,instrumental
Basshunter,60.0,544907.0,65.0,2,0.0,3.141775,1248947.0,27872016.0,22.31641214559145,dance
Bastille,72.0,5647181.0,61.66666666666666,3,0.0,3.470222222222222,2324731.0,88872167.0,38.22901101245692,indie
Batzorig Vaanchig,16.0,21869.0,32.0,1,0.0,4.810433333333333,24779.0,148071.0,5.975664877517253,throat singing
Bazzi,66.0,5506553.0,69.25,4,0.75,2.6909,1381043.0,35534541.0,25.730220565181533,RnB
Bea Miller,62.0,3072874.0,51.0,1,0.0,3.5664333333333333,1042724.0,19541130.0,18.740462480963323,Pop
Beach Bunny,65.0,1856763.0,1.0,1,0.0,2.736083333333333,1473328.0,41615530.0,28.24593708936503,indie rock
Beach House,72.0,2803036.0,64.0,5,0.0,5.185413333333334,3374247.0,232004922.0,68.75753968218687,dream Pop
Beach Weather,65.0,1005044.0,51.333333333333336,3,0.0,3.279733333333333,1315238.0,23333218.0,17.740681154285383,indie rock
Bear McCreary,59.0,241463.0,29.52380952380953,21,0.0,3.3847642857142857,526715.0,20859981.0,39.6039243234007,Soundtrack
Beatline,20.0,475.0,39.0,1,0.0,2.512,517.0,1465.0,2.833655705996132,Russia
Beau Young Prince,41.0,21939.0,59.0,1,0.0,2.9608833333333333,122446.0,838816.0,6.850497362102478,Hip-Hop
Bebe Rexha,75.0,9837715.0,58.4,5,0.0,2.8607,1389090.0,36007595.0,25.921714935677315,Pop
Becky G,74.0,16646605.0,70.66666666666667,3,0.0,3.457855555555556,1361818.0,24014935.0,17.634467307672537,Pop
Becky Hill,68.0,925156.0,54.0,1,0.0,2.9771,588259.0,8901718.0,15.132310767876056,Pop
Bedroom,52.0,316990.0,62.0,2,0.0,5.3873,691423.0,10213666.0,14.771950021911334,chillwave
Bee Gees,76.0,9347176.0,50.0,1,0.0,4.7344333333333335,3318640.0,65817780.0,19.832756791938863,Disco
Bella Poarch,60.0,1409523.0,62.0,1,0.0,2.900033333333333,551301.0,6293230.0,11.415234146137951,Pop
Ben Cocks,47.0,28254.0,64.0,1,0.0,3.7831,97915.0,953833.0,9.741439003217076,indie
Ben E. King,65.0,711539.0,77.0,1,0.0,3.0009166666666665,1721615.0,12205929.0,7.089813343866079,soul
