event_id,event_date,artist_name,venue_name,city,state_code,price_min,price_max,price_avg,total_tickets,sold_out,year,month,dayofweek,data_source
9534019,2016-06-16 23:00:00,Michael Franti and Spearhead,House of Blues Boston,Boston,MA,83.9,234.0,158.95,125,0,2016,6,3,GitHub
9533497,2016-08-20 00:00:00,Michael Franti and Spearhead,Fillmore Philadelphia,Philadelphia,PA,85.09,69.99,77.53999999999999,4,0,2016,8,5,GitHub
9534021,2016-06-20 00:00:00,Michael Franti and Spearhead,Fillmore Philadelphia,Philadelphia,PA,79.18,122.0,100.59,63,0,2016,6,0,GitHub
9534018,2016-06-15 22:00:00,Michael Franti and Spearhead,Thompsons Point,Portland,ME,78.0,87.0,82.5,43,0,2016,6,2,GitHub
9531825,2016-04-07 03:30:00,Michael Kiwanuka,Roxy Theatre Los Angeles,Los Angeles,CA,70.88,150.0,110.44,46,0,2016,4,3,GitHub
9528503,2016-04-04 23:00:00,Michael Kiwanuka,Bowery Ballroom,New York,NY,28.39,212.0,120.195,102,0,2016,4,0,GitHub
9520026,2016-05-27 23:30:00,Micky Dolenz and Peter Torks The Monkees 50th Anniversary Tour,Wilbur Theatre,Boston,MA,76.84,222.0,149.42000000000002,80,0,2016,5,4,GitHub
9520055,2016-06-29 00:30:00,Micky Dolenz and Peter Torks The Monkees 50th Anniversary Tour,AT&T Performing Arts Center - Winspear Opera House,Dallas,TX,209.0,246.0,227.5,10,0,2016,6,2,GitHub
9520084,2016-09-17 02:30:00,Micky Dolenz and Peter Torks The Monkees 50th Anniversary Tour,Pantages Theatre Los Angeles,Los Angeles,CA,102.01,399.0,250.505,147,0,2016,9,5,GitHub
9520030,2016-06-01 23:30:00,Micky Dolenz and Peter Torks The Monkees 50th Anniversary Tour,Town Hall New York,New York,NY,99.65,1000.0,549.825,181,0,2016,6,2,GitHub
9520093,2016-09-26 02:30:00,Micky Dolenz and Peter Torks The Monkees 50th Anniversary Tour,Moore Theatre,Seattle,WA,176.35,350.0,263.175,26,0,2016,9,0,GitHub
9520087,2016-09-21 02:30:00,Micky Dolenz and Peter Torks The Monkees 50th Anniversary Tour,The Warfield,San Francisco,CA,155.9,274.0,214.95,18,0,2016,9,2,GitHub
9531835,2016-05-07 01:00:00,Migos,South SIde Music Hall,Dallas,TX,66.22,100.0,83.11,5,0,2016,5,5,GitHub
9500217,2016-03-20 01:00:00,Migos,City Hall Denver,Denver,CO,61.5,78.66,70.08,13,0,2016,3,6,GitHub
9501181,2016-03-16 01:00:00,Miike Snow,Granada Theater Dallas,Dallas,TX,91.0,95.0,93.0,18,0,2016,3,2,GitHub
9501180,2016-03-14 00:00:00,Miike Snow,House of Blues Houston,Houston,TX,55.6,150.0,102.8,44,0,2016,3,0,GitHub
