venue_id,venue_name,venue_capacity,venue_postal_code,venue_city,venue_state_code,venue_latitude,venue_longitude,tm_api_status
KovZpZAJe6nA,Oakland Arena,,94621,Oakland,CA,37.75155410,-122.20157150,Success
rZ7HnEZ17Qa1d,Quarry Amphitheater,,95064,Santa Cruz,CA,36.99865,-122.05636,Success
KovZpZAJk71A,San Jose Civic,,95113,San Jose,CA,37.33046417,-121.88966811,Success
KovZpZAEFIdA,Historic BAL Theatre,,94578,San Leandro,CA,37.70859200,-122.13306600,Success
KovZpZAIE7aA,The UC Theatre,,94704,Berkeley,CA,37.87181700,-122.26976400,Success
KovZpZAJelvA,SAP Center at San Jose,,95113,San Jose,CA,37.33296880,-121.90457550,Success
Z7r9jZaeM2,The UC Theatre,,94704,Berkeley,CA,37.869701000,-122.258400000,Success
Z7r9jZad19,Cornerstone - CA,,94704,Berkeley,CA,37.869701000,-122.258400000,Success
KovZpZAJaFkA,Levi's® Stadium,,95054,Santa Clara,CA,37.40367671,-121.97034311,Success
rZ7HnEZaAO4,The Crepe Place,,95062,Santa Cruz,CA,36.97971150965,-122.01092308650,Success
KovZpZA1endA,Rio Theatre,,95062,Santa Cruz,CA,36.97992230,-122.01048630,Success
KovZpZAFadlA,Greek Theatre-U.C. Berkeley,,94720,Berkeley,CA,37.87407420,-122.25554180,Success
rZ7HnEZ17o0bg,Moe's Alley,,95065,Santa Cruz,CA,36.9875105,-121.9828327,Success
ZFr9jZ7vFA,San Jose Civic,,95113,San Jose,CA,37.333500000,-121.890602000,Success
Z7r9jZaeR5,The Ritz - San Jose,,95113,San Jose,CA,37.333500000,-121.890602000,Success
rZ7HnEZ178E04,San Jose Improv,,95113,San Jose,CA,37.335634,-121.887954,Success
rZ7HnEZ17oO1A,The Ritz,,95113,San Jose,CA,37.330003,-121.885808,Success
Z7r9jZadhe,HopMonk Tavern - Novato,,94945,Novato,CA,38.126202000,-122.558998000,Success
Z7r9jZadcs,Blue Note - CA,,94559,Napa,CA,38.207699000,-122.333199000,Success
ZFr9jZ7aea,Weill Hall at Sonoma State University,,94928,Rohnert Park,CA,38.348999000,-122.694801000,Success
KovZpZAJ711A,The Event at Graton Resort & Casino,,94928,Rohnert Park,CA,38.35678537,-122.72295065,Success
KovZpZA7kdlA,Toyota Pavilion at Concord,,94521,Concord,CA,37.96035500,-121.93965600,Success
ZFr9jZkda6,Golden State Theatre,,93940,Monterey,CA,36.581600000,-121.843597000,Success
KovZpZAFktdA,Uptown Theatre Napa,,94559,Napa,CA,38.29634650,-122.28736980,Success
rZ7HnEZ178YFP,Blue Note Napa,,94559,Napa,CA,38.299671,-122.285516,Success
ZFr9jZAk6v,Ruth Finley Person Theater- Luther Burbank Center,,95403,Santa Rosa,CA,38.489101000,-122.745697000,Success
rZ7HnEZ17QKoK,Journey Downtown Theater,,95688,Vacaville,CA,38.356738822416055,-121.9894470711651,Success
KovZpZA6t7AA,Adventist Health Arena,,95203,Stockton,CA,37.95695000,-121.29567500,Success
KovZpZAanJeA,Bob Hope Theatre,,95202,Stockton,CA,37.95261800,-121.28748800,Success
rZ7HnEZ173oq4,Calvary Chapel - Modesto,,95356,Modesto,CA,37.702078,-121.039942,Success
KovZpZAEF76A,Golden 1 Center,,95814,Sacramento,CA,38.58037200,-121.50023100,Success
