lastfm_listeners,lastfm_playcount,lastfm_tag_1,primary_artist_name
"1,283,793","14,213,525",RnB,Amerie
"207,305","1,030,916",Disco,Amii Stewart
"1,444,002","61,309,134",Rap,Aminé
"28,517","244,805",RnB,Amine
"8,574","112,720",Canadian,Amos the Transparent
"28,249","471,981",heavy metal,Amulet
"437,742","4,446,678",Pop,Amy Grant
72,459,,Amy Grant With Vince Gill
"65,199","434,777",Pop,Amy Holland
"1,272,920","32,834,223",female vocalists,Amy Macdonald
"4,491,236","196,674,427",soul,Amy Winehouse
"385,422","13,046,060",punk,Amyl
"51,576","329,992",folk,Amythyst Kiah
"54,340","423,050",female vocalists,Ana
"7,606","59,988",Musical theatre,Ana Gasteyer
"77,474","937,507",blues,Ana Popovic
"47,308","119,354",,Ana Shine
461,"3,409",,Anacostia
"11,401","79,488",,Anais
"2,272","6,773",Indian,Ananya
"1,049,021","16,009,783",Pop,Anastacia
450,"1,343",,Anaumali
"4,562","59,211",punk,Ancient Shapes
"63,262","619,707",blues,Anders Osborne
"218,446","2,872,825",Hip-Hop,Andre 3000
15,71,,Andre Pitre
292,834,instrumental,Andre Power
92,207,,Andre Previn With David Rose
"58,327","482,580",blues,Andre Williams
"1,038,541","15,549,676",Classical,Andrea Bocelli
"3,089","19,282",60s,Andrea Carroll
"13,949","88,670",RnB,Andrea Martin
"170,811","831,572",Disco,Andrea True Connection
"84,823","434,677",folk,Andrea Von Kampen
"99,841","1,327,519",classical guitar,Andrei Krylov
"16,541","358,996",,Andres Cepeda
"494,207","7,780,143",singer-songwriter,Andrew Belle
"1,632,187","68,885,557",folk,Andrew Bird
5,33,,Andrew Collins Trio
"16,693","139,435",folk,Andrew Duhon
"493,851","2,636,502",70s,Andrew Gold
"8,585","63,323",Country,Andrew Jannakos
"241,269","3,985,789",indie Pop,Andrew McMahon In The Wilderness
"1,473","16,247",british,Andrew Ridgeley
"3,738","18,371",Pop,Andrew Seeley
"108,450","903,639",new age,Andru Donalds
205,"1,441",LITTLE STAR,Andy
"104,683","797,609",SynthPop,Andy Bell
"9,904","81,313",rock,Andy Fairweather Low
"29,035","267,700",rock,Andy Frasco
"1,386","13,943",rock,Andy Fraser
"221,646","2,018,319",Disco,Andy Gibb
