artist_name,artist_popularity,artist_followers,avg_track_popularity,total_tracks,explicit_ratio,avg_track_duration
Blake Shelton,69.0,7506632.0,58.25,8,0.0,3.632579166666667
Blasterjaxx,61.0,847354.0,37.0,1,0.0,2.5875
BlocBoy JB,53.0,1434846.0,31.0,2,1.0,3.02105
Blood Orange,71.0,1339928.0,78.0,1,0.0,4.872883333333333
Bloodhound Gang,62.0,1114997.0,74.0,1,1.0,4.3417666666666666
Blu Cantrell,60.0,363740.0,74.0,1,0.0,3.8
Blue Foundation,53.0,154658.0,70.0,1,0.0,5.0471
Blue Man,28.0,3312.0,21.0,1,0.0,2.3733666666666666
Blue Öyster Cult,64.0,1717249.0,79.0,1,0.0,5.1353333333333335
Blur,68.0,3924846.0,78.0,1,0.0,2.0193333333333334
Blxst,64.0,576932.0,69.0,1,1.0,2.694733333333333
Bo Burnham,63.0,2078789.0,51.5,2,0.5,2.99595
Bo Diddley,44.0,333376.0,55.0,1,0.0,2.7424333333333335
Bob Dylan,73.0,7364138.0,82.0,1,0.0,2.498
Bobby Shmurda,56.0,1603613.0,68.0,1,1.0,3.2426833333333334
Bon Iver,76.0,3942679.0,77.0,1,0.0,4.826
Bon Jovi,78.0,15801991.0,51.833333333333336,6,0.0,4.537511111111111
Bonalt & Hadi,15.0,425.0,22.0,1,0.0,2.7857
Bone Thugs-N-Harmony,64.0,3304029.0,70.0,1,1.0,4.6962166666666665
Boney M.,69.0,2318871.0,74.0,1,0.0,3.4766666666666666
Bonnie Tyler,68.0,2413522.0,74.0,1,0.0,5.80555
Booker T. & the M.G.'s,54.0,339450.0,69.0,1,0.0,2.9388833333333335
Borislav Slavov,56.0,55191.0,37.5,10,0.0,3.4696866666666666
Boston,65.0,3174703.0,0.0,1,0.0,4.7571
Boy Harsher,52.0,406556.0,0.0,1,0.0,7.324833333333333
Boys Noize,57.0,312847.0,18.0,1,0.0,4.0
Boyshegz,7.0,3.0,21.0,1,0.0,2.8
Boyz N Da Hood,40.0,679564.0,52.0,1,1.0,4.28
Brad Breeck,41.0,23039.0,48.0,1,0.0,0.69155
Brad Paisley,64.0,2898320.0,56.75,4,0.0,4.4602208333333335
Brantley Gilbert,63.0,3029394.0,40.25,4,0.0,3.7414958333333335
Breakfast For Joey,23.0,114.0,40.0,1,1.0,2.5875
Breaking Benjamin,71.0,5154748.0,66.5,2,0.0,3.4889916666666663
Brent Faiyaz,80.0,7897022.0,63.0,1,1.0,3.94505
Brett Eldredge,56.0,1494083.0,58.5,2,0.0,3.418216666666667
Brian Eno,60.0,829906.0,49.0,1,0.0,3.032216666666667
Brian Tyler,56.0,218834.0,34.90909090909091,11,0.0,3.1455075757575757
Bridgit Mendler,59.0,1320576.0,68.0,1,0.0,3.3491
Briezman,23.0,445.0,35.0,1,0.0,3.0395833333333333
Bring Me The Horizon,77.0,6631275.0,64.5,2,1.0,3.6253666666666664
Britney Manson,57.0,461945.0,1.0,1,1.0,2.4421833333333334
Britney Spears,80.0,17755451.0,61.416666666666664,24,0.041666666666666664,3.7157451388888894
Broken Bells,52.0,623266.0,43.0,1,0.0,4.022216666666667
Bronski Beat,60.0,668137.0,77.0,1,0.0,5.040216666666667
Brooke Star,10.0,60.0,27.0,1,0.0,3.6190333333333333
Brooks & Dunn,70.0,3336633.0,69.4,5,0.0,3.4187466666666664
Brothers Osborne,58.0,1271823.0,36.0,1,0.0,5.591333333333333
Bruce Springsteen,76.0,7318208.0,82.0,1,0.0,4.021766666666666
Bruklin,40.0,4550.0,44.5,2,0.0,2.8634666666666666
Bruno Chosen,2.0,107.0,12.0,1,1.0,2.7302333333333335
Bruno Mars,89.0,75455093.0,67.93548387096774,31,0.03225806451612903,3.6887946236559137
Bryan Adams,75.0,4781161.0,39.5,2,0.0,6.244
Bryce Fox,48.0,178158.0,60.0,1,0.0,3.627083333333333
Bryson Tiller,80.0,10564033.0,79.0,4,0.75,3.3482
Buddy Miles,35.0,59521.0,21.0,1,0.0,3.604433333333333
Busta Rhymes,70.0,3165404.0,54.666666666666664,3,1.0,4.032288888888889
BØRNS,65.0,1373052.0,57.75,4,0.0,3.54705
CADDY,38.0,958.0,40.8,5,0.2,3.098133333333333
CADMIUM,47.0,74067.0,36.666666666666664,3,0.3333333333333333,2.6568722222222223
CAKE,61.0,1312426.0,46.0,1,0.0,4.0171
CARYS,47.0,99069.0,61.0,1,1.0,3.5351
CHVRCHES,60.0,1406762.0,1.0,1,1.0,3.1882166666666665
CJ,58.0,277520.0,63.0,1,1.0,2.0543666666666667
CKay,66.0,1686077.0,75.0,1,1.0,2.43
CRO,68.0,2784129.0,51.333333333333336,3,0.3333333333333333,3.060572222222222
