artist_name,secondary_market_events,avg_secondary_price,avg_price_volatility,avg_price_range,avg_active_listings,avg_daily_price_change,high_demand_rate,high_volatility_rate,premium_pricing_rate,avg_price_observations,artist_name_std
Iliza Shlesinger,2,67.5975,0.2017015549098839,53.8,745.0,12.817758620689656,0.5,0.5,0.5,120.0,iliza shlesinger
Illinois Fighting Illini at Ohio State Buckeyes Basketball,1,15.02,0.5097596775887447,43.36,,10.644137931034482,0.0,1.0,0.0,120.0,illinois fighting illini at ohio state buckeyes basketball
Inter Miami CF at Chicago Fire,1,171.68,0.2378209069270878,115.28000000000004,527.0,29.050000000000004,1.0,1.0,1.0,12.0,inter miami cf at chicago fire
Inter Miami CF at Colorado Rapids,1,544.3399999999999,0.1503966188740327,214.29999999999995,20.0,93.87666666666662,0.0,0.0,1.0,8.0,inter miami cf at colorado rapids
Inter Miami CF at D.C. United,1,182.08,0.1647303892415045,102.74999999999996,194.0,19.448333333333327,0.0,0.0,1.0,14.0,inter miami cf at d.c. united
Inter Miami CF at New England Revolution,1,318.895,0.2911209568165874,241.52,159.0,123.362,0.0,1.0,1.0,12.0,inter miami cf at new england revolution
Inter Miami CF at New York City FC,1,232.11,0.3610504479190035,270.95000000000005,284.0,64.92800000000001,1.0,1.0,1.0,12.0,inter miami cf at new york city fc
Inter Miami CF at Orlando City SC,1,145.095,0.327483842388199,125.07,35.0,27.608,0.0,1.0,1.0,12.0,inter miami cf at orlando city sc
Inter Miami CF at Real Salt Lake,1,378.73,0.1114916311300578,104.18,94.0,62.365,0.0,0.0,1.0,10.0,inter miami cf at real salt lake
Inter Miami CF at Toronto FC,1,218.8,0.261546149578665,164.29,159.0,51.7275,0.0,1.0,1.0,10.0,inter miami cf at toronto fc
Inter vs Liverpool FC - European Cup,1,84.1,0.3801351382544004,170.67000000000002,602.0,25.84636363636364,1.0,1.0,1.0,92.0,inter vs liverpool fc - european cup
Iowa Hawkeyes at Iowa State Cyclones Basketball,1,99.245,0.5529098258344085,379.25,479.0,45.788965517241394,1.0,1.0,1.0,120.0,iowa hawkeyes at iowa state cyclones basketball
J.I.D,3,38.12833333333333,0.28317648588856614,38.056666666666665,332.6666666666667,7.539540229885058,0.3333333333333333,0.3333333333333333,0.0,120.0,j.i.d
Jacksonville IceMen at Savannah Ghost Pirates,1,22.28,0.5234758148041425,56.84,,14.16206896551724,0.0,1.0,0.0,120.0,jacksonville icemen at savannah ghost pirates
Jagged Edge - Cuffing Season Tour,1,65.435,0.3665605713312808,86.96,403.0,16.076206896551724,1.0,1.0,0.0,120.0,jagged edge - cuffing season tour
Jamiroquai,1,125.895,0.2299369957736443,101.06,96.0,14.025862068965512,0.0,1.0,1.0,120.0,jamiroquai
Jeff Arcuri,4,7.99625,0.5367772080032087,18.0075,266.5,3.182797805642633,0.75,1.0,0.0,113.0,jeff arcuri
Jeff Dunham,7,91.25071428571428,0.18681080437850842,59.807142857142864,60.666666666666664,14.752128078817735,0.0,0.14285714285714285,0.7142857142857143,73.71428571428571,jeff dunham
Jeremy Loops,1,,,,23.0,,0.0,0.0,0.0,,jeremy loops
