event_id,date,artist,venue,min_price,max_price,total_postings,total_tickets,city,state,ticket_vendor,face_value,sold_out,sk_artist_id,days_to_show,num_years_active,year,month,dayofweek,avg_price,price_range,is_sold_out,tickets_per_posting,artist_std,event_datetime,date_only,hour,day_of_week,is_weekend,temperature,precipitation,weather_condition
9465189,2016-04-05 00:00:00,Andrew Bird,The Electric Factory,67.22,86.0,14,74,Philadelphia,PA,Ticketmaster,$36.00 ,0,395944,22,20.0,2016,4,1,76.61,18.78,0,5.285714285714286,andrew bird,2016-04-05 00:00:00,2016-04-05,0,1,0,,,
9521469,2016-05-19 02:30:00,Andrew Bird,Arlene Schnitzer Hall,55.6,175.01,15,39,Portland,OR,NoVendorClass,NoPriceClass,NoSoldOutClass,395944,66,,2016,5,3,115.305,119.41,0,2.6,andrew bird,2016-05-19 02:30:00,2016-05-19,2,3,0,,,
9527146,2016-05-20 03:30:00,Andrew Bird,The Showbox,72.71,74.0,8,25,Seattle,WA,Songkick Tickets,$48.95 ,0,395944,67,20.0,2016,5,4,73.35499999999999,1.2900000000000065,0,3.125,andrew bird,2016-05-20 03:30:00,2016-05-20,3,4,0,,,
9521467,2016-05-17 03:00:00,Andrew Bird,Nob Hill Masonic Auditorium,85.08,595.0,19,77,San Francisco,CA,Live Nation,NoPriceClass,0,395944,64,,2016,5,1,340.04,509.92,0,4.052631578947368,andrew bird,2016-05-17 03:00:00,2016-05-17,3,1,0,,,
9512691,2016-03-25 01:00:00,Andy Grammer,The Showbox,231.18,193.8,1,4,Seattle,WA,AXS,$18.00 ,0,713189,11,6.0,2016,3,4,212.49,-37.38,0,4.0,andy grammer,2016-03-25 01:00:00,2016-03-25,1,4,0,,,
9527275,2016-04-08 00:00:00,Andy Hull,Brighton Music Hall,54.38,44.0,2,10,Boston,MA,Ticketmaster,$17.00 ,0,579909,25,11.0,2016,4,4,49.19,-10.380000000000004,0,5.0,andy hull,2016-04-08 00:00:00,2016-04-08,0,4,0,,,
9517557,2016-05-05 01:30:00,Andy Mineo,Summit Music Hall,49.69,60.0,7,32,Denver,CO,Ticketfly,$22.00 ,0,5467058,52,15.0,2016,5,3,54.845,10.310000000000002,0,4.571428571428571,andy mineo,2016-05-05 01:30:00,2016-05-05,1,3,0,,,
9517555,2016-04-24 02:00:00,Andy Mineo,Wiltern Theatre,41.42,110.0,14,59,Los Angeles,CA,Live Nation,NoPriceClass,0,5467058,41,,2016,4,6,75.71000000000001,68.58,0,4.214285714285714,andy mineo,2016-04-24 02:00:00,2016-04-24,2,6,1,,,
9517565,2016-05-02 02:00:00,Andy Mineo,McMenamins Crystal Ballroom,63.86,79.8,4,19,Portland,OR,NoResults,NoResults,NoResults,NoResults,49,,2016,5,0,71.83,15.939999999999998,0,4.75,andy mineo,2016-05-02 02:00:00,2016-05-02,2,0,0,,,
9514116,2016-05-01 02:00:00,Andy Mineo,Showbox Sodo,65.04,69.54,2,8,Seattle,WA,Songkick Tickets,$36.75 ,0,5467058,48,15.0,2016,5,6,67.29,4.5,0,4.0,andy mineo,2016-05-01 02:00:00,2016-05-01,2,6,1,,,
9428980,2016-04-07 01:00:00,Ani DiFranco,Park West ,61.5,77.0,8,32,Chicago,IL,NoVendorClass,NoPriceClass,NoSoldOutClass,521301,24,,2016,4,3,69.25,15.5,0,4.0,ani difranco,2016-04-07 01:00:00,2016-04-07,1,3,0,,,
9473792,2016-05-07 01:00:00,Animal Collectice,Marathon Music Works,47.53,1052.56,18,73,Nashville,TN,NoResults,NoResults,NoResults,NoResults,54,,2016,5,5,550.045,1005.03,0,4.055555555555555,animal collectice,2016-05-07 01:00:00,2016-05-07,1,5,1,,,
9473806,2016-05-08 00:00:00,Animal Collective,Buckhead Theatre,62.68,1111.0,28,134,Atlanta,GA,Ticketmaster,$30.00 ,0,137427,55,17.0,2016,5,6,586.84,1048.32,0,4.785714285714286,animal collective,2016-05-08 00:00:00,2016-05-08,0,6,1,,,
9528223,2016-03-20 16:00:00,Anjunabeats,Raleigh Hotel Miami Beach,44.85,139.0,11,31,Miami,FL,NoVendorClass,NoPriceClass,NoSoldOutClass,116734,7,,2016,3,6,91.925,94.15,0,2.8181818181818183,anjunabeats,2016-03-20 16:00:00,2016-03-20,16,6,1,,,
9529166,2016-03-19 18:00:00,Anjunadeep in Miami,Cafeina Wynwood Lounge,61.5,99.95,2,3,Miami,FL,Wantickets,$40.00 ,0,6321339,6,4.0,2016,3,5,80.725,38.45,0,1.5,anjunadeep in miami,2016-03-19 18:00:00,2016-03-19,18,5,1,,,
9345511,2016-04-14 03:00:00,Anoushka Shankar,Royce Hall/UCLA,85.49,150.0,6,17,Los Angeles,CA,Ticketmaster,$19.00 ,0,127386,31,21.0,2016,4,3,117.745,64.51,0,2.833333333333333,anoushka shankar,2016-04-14 03:00:00,2016-04-14,3,3,0,,,
9535506,2016-04-24 01:00:00,Anthony Hamilton,Arie Crown Theater,73.3,424.68,23,97,Chicago,IL,Ticketmaster,$35.50 ,0,553161,41,21.0,2016,4,6,248.99,351.38,0,4.217391304347826,anthony hamilton,2016-04-24 01:00:00,2016-04-24,1,6,1,,,
9535738,2016-05-21 03:00:00,Anthony Hamilton and Fantasia,Microsoft Theater,119.32,1625.0,36,175,Los Angeles,CA,AXS,$59.50 ,0,8626659,68,21.0,2016,5,5,872.16,1505.68,0,4.861111111111111,anthony hamilton and fantasia,2016-05-21 03:00:00,2016-05-21,3,5,1,,,
9536178,2016-04-30 00:00:00,Anthony Hamilton and Fantasia,The Theater at Madison Square Garden,99.06,400.0,36,114,New York,NY,Ticketmaster,$55.00 ,0,553161,47,21.0,2016,4,5,249.53,300.94,0,3.1666666666666665,anthony hamilton and fantasia,2016-04-30 00:00:00,2016-04-30,0,5,1,,,
